Species	Status
Aaptoryctes_ivyi	extinct
Abdounodus_hamdii	extinct
Acheronodon_garbani	extinct
Acheronodon_vossae	extinct
Acmeodon_hyoni	extinct
Acmeodon_secans	extinct
Aletodon_conardae	extinct
Aletodon_gunnelli	extinct
Aletodon_mellon	extinct
Aletodon_quadravus	extinct
Allocosmodon_woodi	extinct
Amaramnis_gregoryi	extinct
Anacodon_nexus	extinct
Anacodon_ursidens	extinct
Anchippodus_riparius	extinct
Anisonchus_athelas	extinct
Anisonchus_dracus	extinct
Anisonchus_fortunatus	extinct
Anisonchus_oligistus	extinct
Anisonchus_onostus	extinct
Anisonchus_sectorius	extinct
Anisonchus_willeyi	extinct
Ankalagon_saurognathus	extinct
Anthraryctes_vastanensis	extinct
Apatemys_bellulus	extinct
Apatemys_bellus	extinct
Apatemys_chardini	extinct
Apatemys_downsi	extinct
Apatemys_hendryi	extinct
Apatemys_mutiniacus	extinct
Apatemys_rodens	extinct
Apatemys_sigogneaui	extinct
Apatemys_teilhardi	extinct
Apatemys_uintensis	extinct
Apheliscus_insidiosus	extinct
Apheliscus_nitidus	extinct
Apheliscus_wapitiensis	extinct
Aphronorus_fraudator	extinct
Aphronorus_orieli	extinct
Aphronorus_ratatoski	extinct
Aphronorus_simpsoni	extinct
Archaeoryctes_euryalis	extinct
Arctocyon_corrugatus	extinct
Arctocyon_ferox	extinct
Arctocyon_montanensis	extinct
Arctocyon_mumak	extinct
Ardynictis_captor	extinct
Asiabradypus_incompositus	extinct
Avunculus_didelphodontidi	extinct
Bagalestes_trofimovi	extinct
Baioconodon_antiquus	extinct
Baioconodon_denverensis	extinct
Baioconodon_middletoni	extinct
Baiotomeus_douglassi	extinct
Baiotomeus_lamberti	extinct
Baiotomeus_rhothonion	extinct
Baiotomeus_russelli	extinct
Barylambda_churchilli	extinct
Barylambda_faberi	extinct
Barylambda_jackwilsoni	extinct
Basalina_basalensis	extinct
Bathyopsis_fissidens	extinct
Bathyopsis_middleswarti	extinct
Belgoryctes_thaleri	extinct
Bessoecetor_septentrionalis	extinct
Bisonalveus_browni	extinct
Bisonalveus_holtzmani	extinct
Boffius_splendidus	extinct
Bubogonia_saskia	extinct
Buxolestes_hammeli	extinct
Buxolestes_minor	extinct
Buxolestes_piscator	extinct
Caenolambda_jepseni	extinct
Caenolambda_pattersoni	extinct
Carcinodon_aquilonius	extinct
Carcinodon_filholianus	extinct
Carsioptychus_coarctatus	extinct
Carsioptychus_hamaxitus	extinct
Carsioptychus_matthewi	extinct
Catopsalis_alexanderi	extinct
Catopsalis_calgariensis	extinct
Catopsalis_fissidens	extinct
Catopsalis_foliatus	extinct
Catopsalis_jpyneri	extinct
Catopsalis_waddleae	extinct
Cernaysia_davidi	extinct
Cernaysia_manueli	extinct
Chadronia_margaretae	extinct
Choeroclaenus_turgidunculus	extinct
Chriacus_badgleyi	extinct
Chriacus_baldwini	extinct
Chriacus_calenancus	extinct
Chriacus_gallinae	extinct
Chriacus_katrinae	extinct
Chriacus_metacometi	extinct
Chriacus_oconostotae	extinct
Chriacus_pelvidens	extinct
Chriacus_punitor	extinct
Cimolestes_cerberoides	extinct
Cimolestes_cuspulus	extinct
Cimolestes_incisus	extinct
Cimolestes_magnus	extinct
Cimolestes_simpsoni	extinct
Cimolestes_stirtoni	extinct
Cingulodon_magioncaldai	extinct
Colpoclaenus_keeferi	extinct
Colpoclaenus_procyonoides	extinct
Colpoclaenus_silberlingi	extinct
Conacodon_cophater	extinct
Conacodon_delphae	extinct
Conacodon_entoconus	extinct
Conacodon_harbouri	extinct
Conacodon_kohlbergeri	extinct
Conacodon_utahensis	extinct
Conoryctella_dragonensis	extinct
Conoryctella_pattersoni	extinct
Conoryctes_comma	extinct
Copecion_brachypternus	extinct
Copecion_davisi	extinct
Coriphagus_encinensis	extinct
