Taxon_name,Status,MinAge,MaxAge,Site
Microtherium_renggeri,extinct,14.2,14.2,21390
Bachitherium_insigne,extinct,25.41,25.41,29029
Bos_primigenius,extinct,0.0295,0.0295,27232
Gazella_prjewalskyi,extinct,0.0295,0.0295,27232
Cervus_elaphus,extant,0.07,0.07,28260
Bos_primigenius,extinct,0.07,0.07,28260
Sus_scrofa,extant,0.07,0.07,28260
Rupicapra_rupicapra,extant,0.07,0.07,28260
Capra_pyrenaica,extant,0.07,0.07,28260
Tragoportax_amalthea,extinct,8.9,8.9,20859
Palaeoryx_pallasi,extinct,8.9,8.9,20859
Maremmia_hauptii,extinct,7.6,7.6,20132
Bunolistriodon_lockharti,extinct,17.2,17.2,20133
Kobus_porrecticornis,extinct,5.7,5.7,28329
Gazella_sinensis,extinct,2.5,2.5,20797
Gigantocamelus_longipes,extinct,2.5,2.5,20797
Nyanzachoerus_kanamensis,extinct,5.2,5.2,28330
Nyanzachoerus_australis,extinct,5.2,5.2,28330
Nyanzachoerus_kanamensis,extinct,5.2,5.2,28330
Kobus_porrecticornis,extinct,5.2,5.2,28330
Tragelaphus_moroitu,extinct,5.2,5.2,28330
Hippopotamus_dulu,extinct,5.2,5.2,28330
Sivatherium_maurusium,extinct,3.6,3.6,26846
Libycosaurus_petrocchii,extinct,9.0,9.0,28281
Aureliachoerus_aurelianensis,extinct,19.5,19.5,21624
Sivatherium_maurusium,extinct,2.19,2.19,23910
Kolpochoerus_phacochoeroides,extinct,2.19,2.19,23910
Damaliscus_antiquus,extinct,2.19,2.19,23910
Parmularius_atlanticus,extinct,2.19,2.19,23910
Gazella_psolea,extinct,2.19,2.19,23910
Gazella_thomasi,extinct,2.19,2.19,23910
Kobus_barbarus,extinct,2.19,2.19,23910
Beatragus_antiquus,extinct,2.19,2.19,23910
Hippopotamus_amphibius,extant,2.5,2.5,23190
Parmularius_altidens,extinct,2.5,2.5,23190
Kolpochoerus_heseloni,extinct,2.5,2.5,23190
Damaliscus_cuiculi,extinct,2.5,2.5,23190
Redunca_eulmensis,extinct,2.5,2.5,23190
Parantidorcas_latifrons,extinct,2.5,2.5,23190
Bos_palaethiopicus,extinct,2.5,2.5,23190
Gazella_setifensis,extinct,2.5,2.5,23190
Oreonagor_tournoueri,extinct,2.5,2.5,23190
Libytherium_maurusium,extinct,2.5,2.5,23190
Connochaetes_tournoueri,extinct,2.5,2.5,23190
Sivatherium_maurusium,extinct,3.55,3.55,23893
Giraffa_pomeli,extinct,3.55,3.55,23893
Parantidorcas_latifrons,extinct,3.55,3.55,23893
Gazella_setifensis,extinct,3.55,3.55,23893
Capra_primaeva,extinct,3.55,3.55,23893
Kolpochoerus_phacochoeroides,extinct,3.6,3.6,26834
Hippopotamus_amphibius,extant,1.8,1.8,23189
Sivatherium_maurusium,extinct,1.8,1.8,23189
Numidocapra_crassicornis,extinct,1.8,1.8,23189
Tragelaphus_gaudryi,extinct,1.8,1.8,23189
Kolpochoerus_heseloni,extinct,1.8,1.8,23189
Bos_bubaloides,extinct,1.8,1.8,23189
Gorgon_mediterraneus,extinct,1.8,1.8,23189
Gazella_pomeli,extinct,1.8,1.8,23189
Bos_praeafricanus,extinct,1.8,1.8,23189
Giraffa_pomeli,extinct,1.8,1.8,23189
Oryx_eleulmensis,extinct,1.8,1.8,23189
Sivatherium_maurusium,extinct,2.58,2.58,23911
Kolpochoerus_phacochoeroides,extinct,2.58,2.58,23911
Gazella_setifensis,extinct,2.58,2.58,23911
Oreonagor_tournoueri,extinct,2.58,2.58,23911
Giraffa_camelopardalis,extant,2.58,2.58,23911
Hippopotamodon_major,extinct,9.9,9.9,23447
Palaeotragus_decipiens,extinct,11.2,11.2,23649
Conohyus_giganteus,extinct,11.2,11.2,23649
Listriodon_splendens,extinct,11.2,11.2,23649
Protragelaphus_skouzesi,extinct,7.6,7.6,22919
Palaeoryx_pallasi,extinct,7.6,7.6,22919
Sinotragus_occidentalis,extinct,7.6,7.6,22919
Hippopotamodon_major,extinct,7.6,7.6,22919
Tragoportax_amalthea,extinct,7.6,7.6,23659
Gazella_capricornis,extinct,7.6,7.6,23659
Prostrepsiceros_rotundicornis,extinct,7.6,7.6,23659
Gazella_pilgrimi,extinct,7.6,7.6,23659
Palaeoryx_majori,extinct,7.6,7.6,23659
Hippopotamodon_major,extinct,7.6,7.6,23659
Palaeotragus_rouenii,extinct,7.6,7.6,23659
Miotragocerus_valenciennesi,extinct,7.6,7.6,23659
Protoryx_crassicornis,extinct,7.6,7.6,23659
Stephanocemas_aralensis,extinct,19.5,19.5,20781
Euprox_margaritae,extinct,19.5,19.5,20781
Praepalaeotragus_actauensis,extinct,19.5,19.5,20781
Stephanocemas_aralensis,extinct,17.2,17.2,21652
Procervulus_gracilis,extinct,17.2,17.2,21652
Praepalaeotragus_actauensis,extinct,17.2,17.2,21652
Lagomeryx_vallesensis,extinct,17.2,17.2,21652
Stephanocemas_actauensis,extinct,17.2,17.2,21652
Injanatherium_arabicum,extinct,14.2,14.2,20134
Gentrytragus_thomasi,extinct,14.2,14.2,20134
Dorcatherium_libiensis,extinct,16.4,16.4,20145
Aepyceros_premelampus,extinct,5.7,5.7,28331
Conohyus_giganteus,extinct,5.7,5.7,28331
Sivachoerus_syrticus,extinct,5.7,5.7,28331
Kobus_porrecticornis,extinct,5.7,5.7,28331
Cainochoerus_africanus,extinct,5.7,5.7,28331
Zephyreduncinus_oundagaisus,extinct,5.7,5.7,28331
Tragelaphus_moroitu,extinct,5.7,5.7,28331
Palaeotragus_indet,extinct,5.7,5.7,28331
Tragoportax_abyssinicus,extinct,5.7,5.7,28331
Nyanzachoerus_jaegeri,extinct,7.246,7.246,23232
Nyanzachoerus_kanamensis,extinct,7.246,7.246,23232
Hexaprotodon_imagunculus,extinct,7.246,7.246,23232
Hippopotamus_kaisensis,extinct,7.246,7.246,23232
Nyanzachoerus_kanamensis,extinct,7.246,7.246,23232
Sivachoerus_syrticus,extinct,7.246,7.246,23232
Hippopotamus_gorgops,extinct,3.6,3.6,23241
Kolpochoerus_majus,extinct,3.6,3.6,23241
Kobus_ellipsiprymnus,extant,3.6,3.6,23241
Hexaprotodon_imagunculus,extinct,3.6,3.6,23241
Hippopotamus_kaisensis,extinct,3.6,3.6,23241
Hylochoerus_meinertzhageni,extant,3.6,3.6,23241
Nyanzachoerus_jaegeri,extinct,7.246,7.246,23242
Kolpochoerus_majus,extinct,3.6,3.6,26936
Phacochoerus_aethiopicus,extant,3.6,3.6,26936
Hylochoerus_meinertzhageni,extant,3.6,3.6,26936
Nyanzachoerus_jaegeri,extinct,5.333,5.333,23233
Nyanzachoerus_kanamensis,extinct,5.333,5.333,23233
Tragelaphus_nakuae,extinct,5.333,5.333,23233
Hexaprotodon_imagunculus,extinct,5.333,5.333,23233
Hippopotamus_kaisensis,extinct,5.333,5.333,23233
Tragelaphus_nkondoensis,extinct,5.333,5.333,23233
Potamochoerus_porcus,extant,3.6,3.6,23234
Phacochoerus_aethiopicus,extant,3.6,3.6,23234
Notochoerus_euilus,extinct,3.6,3.6,23235
Giraffa_stillei,extinct,3.6,3.6,23235
Aepyceros_shungurae,extinct,3.6,3.6,23235
Menelikia_lyrocera,extinct,3.6,3.6,23235
Kobus_kob,extant,3.6,3.6,23235
Phacochoerus_aethiopicus,extant,3.6,3.6,23235
Kolpochoerus_phacochoeroides,extinct,3.6,3.6,23235
Pelorovis_kaisensis,extinct,3.6,3.6,23235
Megalotragus_isaaci,extinct,3.6,3.6,23235
Sivachoerus_syrticus,extinct,7.246,7.246,23238
Nyanzachoerus_kanamensis,extinct,5.333,5.333,23239
Potamochoerus_porcus,extant,3.6,3.6,23240
Propotamochoerus_palaeochoerus,extinct,5.3,5.3,20094
Gazella_borbonica,extinct,5.3,5.3,20094
Sus_arvernensis,extinct,5.3,5.3,20094
Alephis_boodon,extinct,5.3,5.3,20094
Cervus_australis,extinct,5.3,5.3,20094
Sus_arvernensis,extinct,5.3,5.3,27295
Alephis_boodon,extinct,5.3,5.3,27295
Conohyus_simorrensis,extinct,14.2,14.2,27274
Hispanomeryx_aragonensis,extinct,14.2,14.2,27274
Heteroprox_moralesi,extinct,14.2,14.2,27274
Helladotherium_duvernoyi,extinct,8.9,8.9,20858
Tragoportax_amalthea,extinct,8.9,8.9,20858
Gazellospira_torticornis,extinct,3.55,3.55,21034
Gazellospira_torticornis,extinct,2.5,2.5,20391
Procamptoceras_brivatense,extinct,2.5,2.5,20391
Metacervocerus_rhenanus,extinct,2.5,2.5,20391
Propotamochoerus_palaeochoerus,extinct,11.2,11.2,29135
Samotherium_mongoliense,extinct,8.9,8.9,20614
Gazella_paotehensis,extinct,8.9,8.9,20614
Gazella_gaudryi,extinct,8.9,8.9,20614
Simatherium_demissum,extinct,5.2,5.2,28332
Aepyceros_premelampus,extinct,5.2,5.2,28332
Nyanzachoerus_australis,extinct,5.2,5.2,28332
Kobus_oricornus,extinct,5.2,5.2,28332
Cainochoerus_africanus,extinct,5.2,5.2,28332
Tragelaphus_moroitu,extinct,5.2,5.2,28332
Nyanzachoerus_kuseralensis,extinct,5.2,5.2,28332
Hippopotamus_dulu,extinct,5.2,5.2,28332
Redunca_ambae,extinct,5.2,5.2,28332
Aepyceros_premelampus,extinct,5.2,5.2,28333
Nyanzachoerus_australis,extinct,5.2,5.2,28333
Nyanzachoerus_kanamensis,extinct,5.2,5.2,28333
Tragelaphus_moroitu,extinct,5.2,5.2,28333
Hippopotamus_dulu,extinct,5.2,5.2,28333
Redunca_ambae,extinct,5.2,5.2,28333
Tragoportax_abyssinicus,extinct,5.2,5.2,28333
Hippopotamus_amphibius,extant,1.8,1.8,23266
Pelorovis_oldowayensis,extinct,1.8,1.8,23266
Sivatherium_maurusium,extinct,1.8,1.8,23266
Metridiochoerus_andrewsi,extinct,1.8,1.8,23266
Antidorcas_recki,extinct,1.8,1.8,23266
Metridiochoerus_hopwoodi,extinct,1.8,1.8,23266
Kobus_kob,extant,1.8,1.8,23266
Kolpochoerus_phacochoeroides,extinct,1.8,1.8,23266
Numidocapra_crassicornis,extinct,1.8,1.8,23266
Neomegaloceros_gracilis,extinct,7.1,7.1,20135
Procamelus_chersonensis,extinct,13.6,13.6,21146
Cervavitus_variabilis,extinct,5.333,5.333,21205
Eostyloceros_blainvillei,extinct,5.333,5.333,21205
Helladotherium_duvernoyi,extinct,8.9,8.9,20862
Prostrepsiceros_woodwardi,extinct,8.9,8.9,20862
Helladotherium_duvernoyi,extinct,7.1,7.1,20588
Prostrepsiceros_woodwardi,extinct,7.1,7.1,20588
Palaeochoerus_gergovianus,extinct,28.82,28.82,22852
Doliochoerus_quercyi,extinct,28.82,28.82,22852
Anthracotherium_magnum,extinct,28.82,28.82,22852
Lophiomeryx_chalaniati,extinct,28.82,28.82,22852
Bunolistriodon_lockharti,extinct,17.2,17.2,20996
Dorcatherium_peneckei,extinct,17.2,17.2,20996
Palaeomeryx_kaupi,extinct,17.2,17.2,20996
Sanitherium_schlagintweiti,extinct,17.2,17.2,20996
Cervus_pardinensis,extinct,5.0,5.0,20751
Conohyus_simorrensis,extinct,12.85,12.85,20600
Albanohyus_pygmaeus,extinct,12.85,12.85,20600
Taucanamo_grandaevum,extinct,12.85,12.85,20600
Micromeryx_flourensianus,extinct,12.85,12.85,20600
Euprox_furcatus,extinct,12.85,12.85,20600
Palaeomeryx_magnus,extinct,12.85,12.85,20600
Eotragus_clavatus,extinct,12.85,12.85,20600
Listriodon_splendens,extinct,12.85,12.85,20600
Tragoportax_cyrenaicus,extinct,5.3,5.3,23208
Notochoerus_euilus,extinct,5.3,5.3,23208
Giraffa_stillei,extinct,5.3,5.3,23208
Simatherium_kohllarseni,extinct,5.3,5.3,23208
Nyanzachoerus_jaegeri,extinct,5.3,5.3,23208
Tragelaphus_kyaloae,extinct,5.3,5.3,23208
Kobus_presigmoidalis,extinct,5.3,5.3,23208
Aepyceros_premelampus,extinct,5.3,5.3,23208
Nyanzachoerus_australis,extinct,5.3,5.3,23208
Sivachoerus_syrticus,extinct,5.3,5.3,23208
Hippopotamus_protamphibius,extinct,5.3,5.3,23208
Archaeopotamus_harvardi,extinct,5.3,5.3,23208
Cervus_philisi,extinct,5.0,5.0,20473
Palaeotragus_expectans,extinct,12.9,12.9,21133
Metacervocerus_pardinensis,extinct,3.55,3.55,24420
Giraffa_stillei,extinct,4.4,4.4,28322
Nyanzachoerus_jaegeri,extinct,4.4,4.4,28322
Nyanzachoerus_kanamensis,extinct,4.4,4.4,28322
Kolpochoerus_deheinzelini,extinct,4.4,4.4,28322
Tragelaphus_kyaloae,extinct,4.4,4.4,28322
Ugandax_gautieri,extinct,4.4,4.4,28322
Kobus_preoricornis,extinct,4.4,4.4,28322
Hypsodontus_pronaticornis,extinct,16.4,16.4,23187
Listriodon_splendens,extinct,16.4,16.4,23187
Propotamochoerus_provincialis,extinct,7.1,7.1,21386
Hexaprotodon_pantanellii,extinct,7.1,7.1,21386
Bos_primigenius,extinct,0.379,0.379,28784
Megaloceros_matritensis,extinct,0.379,0.379,28784
Megaloceros_matritensis,extinct,0.379,0.379,28781
Megaloceros_matritensis,extinct,0.379,0.379,28783
Megaloceros_matritensis,extinct,0.379,0.379,28779
Megaloceros_matritensis,extinct,0.379,0.379,28780
Gazella_propria,extinct,9.88,9.88,20136
Dicrocerus_salomeae,extinct,9.88,9.88,20136
Miotragocerus_brevicornis,extinct,9.88,9.88,20136
Phronetragus_arcnethensis,extinct,9.88,9.88,20136
Bunolistriodon_latidens,extinct,17.2,17.2,20485
Hyotherium_major,extinct,17.2,17.2,20485
Cainotherium_miocaenicum,extinct,17.2,17.2,20485
Bunolistriodon_lockharti,extinct,16.4,16.4,27820
Cainotherium_miocaenicum,extinct,16.4,16.4,27821
Gazella_deperdita,extinct,7.1,7.1,20686
Hexaprotodon_crusafonti,extinct,7.1,7.1,20686
Pliocervus_matheroni,extinct,7.1,7.1,20686
Pliocervus_turolensis,extinct,7.1,7.1,20686
Miotragocerus_valenciennesi,extinct,7.1,7.1,20686
Dorcatherium_pigotti,extinct,16.4,16.4,22345
Lopholistriodon_moruoroti,extinct,16.4,16.4,22345
Namacerus_gariepensis,extinct,16.4,16.4,22345
Micromeryx_flourensianus,extinct,16.4,16.4,24682
Parachleuastochoerus_steinheimensis,extinct,14.2,14.2,20041
Hispanomeryx_aragonensis,extinct,14.2,14.2,20041
Micromeryx_azanzae,extinct,14.2,14.2,20041
Listriodon_splendens,extinct,14.2,14.2,20041
Parachleuastochoerus_steinheimensis,extinct,14.2,14.2,20595
Tethytragus_langai,extinct,14.2,14.2,20595
Listriodon_splendens,extinct,14.2,14.2,20595
Parachleuastochoerus_steinheimensis,extinct,14.2,14.2,20596
Tethytragus_langai,extinct,14.2,14.2,20596
Listriodon_splendens,extinct,14.2,14.2,20596
Parachleuastochoerus_steinheimensis,extinct,14.2,14.2,20597
Tethytragus_langai,extinct,14.2,14.2,20597
Listriodon_splendens,extinct,14.2,14.2,20597
Taucanamo_primum,extinct,17.2,17.2,20006
Aureliachoerus_aurelianensis,extinct,17.2,17.2,20006
Palaeomeryx_kaupi,extinct,17.2,17.2,20006
Lagomeryx_parvulus,extinct,17.2,17.2,20006
Procervulus_dichotomus,extinct,17.2,17.2,20006
Amphimoschus_artenensis,extinct,17.2,17.2,20006
Eotragus_artenensis,extinct,17.2,17.2,20006
Brachyodus_onoideus,extinct,17.2,17.2,20006
Cainotherium_miocaenicum,extinct,17.2,17.2,20006
Amphitragulus_aurelianensis,extinct,17.2,17.2,20006
Bunolistriodon_adelli,extinct,17.2,17.2,20077
Procervulus_ginsburgi,extinct,17.2,17.2,20077
Nyanzachoerus_jaegeri,extinct,4.51,4.51,24374
Nyanzachoerus_kanamensis,extinct,4.51,4.51,24374
Kolpochoerus_deheinzelini,extinct,4.51,4.51,24374
Tragelaphus_kyaloae,extinct,4.51,4.51,24374
Archaeopotamus_harvardi,extinct,4.51,4.51,24374
Nyanzachoerus_jaegeri,extinct,4.187,4.187,26977
Nyanzachoerus_kanamensis,extinct,4.187,4.187,26977
Kolpochoerus_deheinzelini,extinct,4.187,4.187,26977
Tragelaphus_kyaloae,extinct,4.187,4.187,26977
Conohyus_giganteus,extinct,5.7,5.7,23249
Sivachoerus_syrticus,extinct,5.7,5.7,23249
Kobus_porrecticornis,extinct,5.7,5.7,23249
Cainochoerus_africanus,extinct,5.7,5.7,23249
Zephyreduncinus_oundagaisus,extinct,5.7,5.7,23249
Tragelaphus_moroitu,extinct,5.7,5.7,23249
Tragoportax_abyssinicus,extinct,5.7,5.7,23249
Cervus_elaphus,extant,0.374,0.374,22324
Hemitragus_bonali,extinct,0.374,0.374,22324
Dama_dama,extant,0.374,0.374,22324
Sus_scrofa,extant,0.374,0.374,22324
Cervus_elaphus,extant,0.781,0.781,22326
Sus_scrofa,extant,0.781,0.781,22326
Eucladoceros_giullii,extinct,0.781,0.781,22326
Dama_nestii,extinct,0.781,0.781,22326
Bison_voigtstedtensis,extinct,0.781,0.781,22326
Praemegaceros_solhilacus,extinct,0.781,0.781,22326
Cervus_elaphus,extant,0.265,0.265,22328
Bison_priscus,extinct,0.265,0.265,22328
Dama_dama,extant,0.265,0.265,22328
Cervus_elaphus,extant,0.255,0.255,22333
Hemitragus_bonali,extinct,0.255,0.255,22333
Dama_dama,extant,0.255,0.255,22333
Procervulus_flerovi,extinct,11.2,11.2,20994
Miotragocerus_pannoniae,extinct,11.2,11.2,20994
Cainotherium_miocaenicum,extinct,19.5,19.5,21297
Cainotherium_miocaenicum,extinct,19.5,19.5,21532
Lagomeryx_ruetimeyeri,extinct,16.4,16.4,27330
Parachleuastochoerus_huenermanni,extinct,11.2,11.2,27087
Albanohyus_pygmaeus,extinct,11.2,11.2,27087
Dorcatherium_naui,extinct,11.2,11.2,27087
Palaeomeryx_eminens,extinct,11.2,11.2,27087
Micromeryx_flourensianus,extinct,11.2,11.2,27087
Euprox_furcatus,extinct,12.85,12.85,20137
Protragocerus_chantrei,extinct,12.85,12.85,20137
Gelocus_communis,extinct,33.77,33.77,29033
Brachyodus_depereti,extinct,19.5,19.5,23912
Listriodon_splendens,extinct,12.85,12.85,20424
Brachyodus_intermedius,extinct,19.5,19.5,23057
Andegameryx_andegaviensis,extinct,19.5,19.5,23057
Brachyodus_onoideus,extinct,19.5,19.5,23057
Aureliachoerus_aurelianensis,extinct,19.5,19.5,27405
Conohyus_simorrensis,extinct,16.4,16.4,27279
Hyotherium_soemmeringi,extinct,16.4,16.4,27279
Bunolistriodon_lockharti,extinct,16.4,16.4,27279
Aureliachoerus_aurelianensis,extinct,16.4,16.4,27279
Dorcatherium_guntianum,extinct,16.4,16.4,27279
Palaeomeryx_kaupi,extinct,16.4,16.4,27279
Procervulus_dichotomus,extinct,16.4,16.4,27279
Dorcatherium_crassum,extinct,16.4,16.4,27279
Eotragus_clavatus,extinct,16.4,16.4,27279
Paradicrocerus_elegantulus,extinct,16.4,16.4,27279
Bunolistriodon_lockharti,extinct,16.4,16.4,21303
Conohyus_giganteus,extinct,11.2,11.2,22359
Listriodon_splendens,extinct,11.2,11.2,22359
Diacodexis_varleti,extinct,55.79,55.79,22821
Bunophorus_cappettai,extinct,55.79,55.79,22821
Cainotherium_miocaenicum,extinct,19.5,19.5,27826
Hypsodontus_pronaticornis,extinct,14.2,14.2,23445
