Species	Status
Achaenodon_fremdi	extinct
Achaenodon_insolens	extinct
Achaenodon_robustus	extinct
Achaenodon_uintensis	extinct
Aclistomycter_middletoni	extinct
Acotherulum_campichii	extinct
Acotherulum_pumilum	extinct
Acotherulum_quercyi	extinct
Acotherulum_saturninum	extinct
Acteocemas_beatrix	extinct
Aepinacodon_americanus	extinct
Aepinacodon_deflectus	extinct
Aepycamelus_alexandrae	extinct
Aepycamelus_bradyi	extinct
Aepycamelus_elrodi	extinct
Aepycamelus_giraffinus	extinct
Aepycamelus_major	extinct
Aepycamelus_priscus	extinct
Aepycamelus_procerus	extinct
Aepycamelus_robustus	extinct
Aepycamelus_stocki	extinct
Aepyceros_afarensis	extinct
Aepyceros_datoadeni	extinct
Aepyceros_dietrichi	extinct
Aepyceros_melampus	extant
Aepyceros_premelampus	extinct
Aepyceros_shungurae	extinct
Afrikanokeryx_leakeyi	extinct
Afromeryx_grex	extinct
Afromeryx_palustris	extinct
Afromeryx_zelteni	extinct
Afrotragus_libycus	extinct
Agriochoerus_antiquus	extinct
Agriochoerus_bullatus	extinct
Agriochoerus_crassus	extinct
Agriochoerus_gaudryi	extinct
Agriochoerus_guyotianus	extinct
Agriochoerus_major	extinct
Agriochoerus_matthewi	extinct
Agriochoerus_maximus	extinct
Agriochoerus_pearcei	extinct
Agriochoerus_pumilus	extinct
Agriochoerus_trifons	extinct
Aguascalientia_wilsoni	extinct
Albanohyus_castellensis	extinct
Albanohyus_minus	extinct
Albanohyus_pygmaeus	extinct
Alces_alces	extant
Alces_carnutorum	extinct
Alces_latifrons	extinct
Alephis_boodon	extinct
Alephis_lyrix	extinct
Alephis_tigneresi	extinct
Aletomeryx_gracilis	extinct
Aletomeryx_marslandensis	extinct
Aletomeryx_occidentalis	extinct
Alforjas_magnifontis	extinct
Alforjas_taylori	extinct
Ammotragus_europaeus	extinct
Ampelomeryx_ginsburgi	extinct
Amphimeryx_murinus	extinct
Amphimoschus_artenensis	extinct
Amphimoschus_ponteleviensis	extinct
Amphiprox_anocerus	extinct
Amphitragulus_aurelianensis	extinct
Amphitragulus_boulangeri	extinct
Amphitragulus_elegans	extinct
Amphitragulus_feningrei	extinct
Amphitragulus_gracilis	extinct
Amphitragulus_lemanensis	extinct
Amphitragulus_primaevus	extinct
Amphitragulus_quercyi	extinct
Andegameryx_andegaviensis	extinct
Andegameryx_laugnacensis	extinct
Andegameryx_serum	extinct
Anoplotherium_commune	extinct
Anoplotherium_pompeckii	extinct
Anthracobunodon_neumarkensis	extinct
Anthracobunodon_weigelti	extinct
Anthracochoerus_fabianii	extinct
Anthracochoerus_stehlini	extinct
Anthracokeryx_birmanicus	extinct
Anthracotherium_alsaticum	extinct
Anthracotherium_bugtiense	extinct
Anthracotherium_crassum	extinct
Anthracotherium_cuvieri	extinct
Anthracotherium_kwablianicum	extinct
Anthracotherium_magnum	extinct
Anthracotherium_monsvialense	extinct
Anthracotherium_pangan	extinct
Anthracotherium_punjabiense	extinct
Anthracotherium_tenuis	extinct
Antiacodon_huerfanensis	extinct
Antiacodon_pygmaeus	extinct
Antiacodon_vanvaleni	extinct
Antiacodon_venustus	extinct
Antidorcas_bondi	extinct
Antidorcas_recki	extinct
Antilope_subtorta	extinct
Antilospira_gracilis	extinct
Antilospira_licenti	extinct
Antilospira_yuxianensis	extinct
Antilospira_zdanskyi	extinct
Antispiroides_hopeiensis	extinct
Apriculus_praeteritus	extinct
Aragoral_mudejar	extinct
Archaeopotamus_harvardi	extinct
Archaeopotamus_lothagamensis	extinct
Archaeopotamus_qeshta	extinct
Archaeotherium_calkinsi	extinct
Archaeotherium_latidens	extinct
Archaeotherium_lemleyi	extinct
Archaeotherium_mortoni	extinct
Archaeotherium_potens	extinct
Archaeotherium_ramosum	extinct
Archaeotherium_trippensis	extinct
Archaeotherium_wanlessi	extinct
Archaeotherium_zygomaticus	extinct
Arretotherium_acridens	extinct
Arretotherium_fricki	extinct
Arretotherium_leptodus	extinct
Arvernoceros_ardei	extinct
Arvernoceros_insolitus	extinct
Asiagenes_ceratinus	extinct
Asiohomacodon_myanmarensis	extinct
Aumelasia_gabineaudi	extinct
Aumelasia_maniai	extinct
Aumelasia_menieli	extinct
Aureliachoerus_aurelianensis	extinct
Aureliachoerus_minus	extinct
Australocamelus_orarius	extinct
Austroportax_latifrons	extinct
Auxontodon_pattersoni	extinct
Auxontodon_processus	extinct
Awashia_suwai	extinct
Axis_eurygonos	extinct
Axis_flerovi	extinct
Axis_porcinus	extant
Axis_rugosus	extinct
Axis_shansius	extinct
Axis_speciosus	extinct
Axis_ubensis	extinct
Axis_yunnanensis	extinct
Babameryx_engesseri	extinct
Bachitherium_curtum	extinct
Bachitherium_guirounetensis	extinct
Bachitherium_insigne	extinct
Bachitherium_lavocati	extinct
Bachitherium_sardus	extinct
Bachitherium_vireti	extinct
Barbouromeryx_trigonocorneus	extinct
Bathygenys_alpha	extinct
Bathygenys_hedlundae	extinct
Bathygenys_reevesi	extinct
Beatragus_antiquus	extinct
Beatragus_hunteri	extant
Beatragus_whitei	extinct
Bedenomeryx_milloquensis	extinct
Bedenomeryx_paulhiacensis	extinct
Bedenomeryx_truyolsi	extinct
Benicerus_theobaldi	extinct
Bibos_gaurus	extinct
Birgerbohlinia_schaubi	extinct
Bison_degiulii	extinct
Bison_georgicus	extinct
Bison_menneri	extinct
Bison_palaeosinensis	extinct
Bison_priscus	extinct
Bison_schoetensacki	extinct
Bison_voigtstedtensis	extinct
Blancocamelus_meadei	extinct
Blastomeryx_gemmifer	extinct
Blickohyus_auritus	extinct
Blickomylus_galushai	extinct
Blickomylus_moroni	extinct
Bohlinia_attica	extinct
Bohlinia_nikitae	extinct
Boocercus_flabellatus	extinct
Boopsis_sinensis	extinct
Boreameryx_braskerudi	extinct
Bos_banteng	extinct
Bos_bubaloides	extinct
Bos_frontalis	extant
Bos_gaurus	extinct
Bos_geron	extinct
Bos_javanicus	extant
Bos_palaethiopicus	extinct
Bos_praeafricanus	extinct
Bos_primigenius	extinct
Bos_sauveli	extant
Bothriodon_advena	extinct
Bothriodon_aymardi	extinct
Bothriodon_rostratus	extinct
Bothriodon_sandaensis	extinct
Bothriodon_velaunus	extinct
Bothriogenys_fraasi	extinct
Bothriogenys_gorringei	extinct
Bothriogenys_parvus	extinct
Bouria_anngettyae	extinct
Bouromeryx_americanus	extinct
Bouromeryx_submilleri	extinct
Brabovus_nanincisus	extinct
Brachycrus_buwaldi	extinct
Brachycrus_laticeps	extinct
Brachycrus_rusticus	extinct
Brachycrus_siouense	extinct
Brachycrus_sweetwaterensis	extinct
Brachycrus_vaughani	extinct
Brachyodus_aequatorialis	extinct
Brachyodus_africanus	extinct
Brachyodus_depereti	extinct
Brachyodus_intermedius	extinct
Brachyodus_mogharensis	extinct
Brachyodus_onoideus	extinct
Bramatherium_megacephalum	extinct
Bramatherium_perimense	extinct
Bretzia_pseudalces	extinct
Bubalus_arnee	extinct
Bubalus_bubalis	extant
Bubalus_murrensis	extinct
Bubalus_teilhardi	extinct
Budorcas_churcheri	extinct
Bugtimeryx_pilgrimi	extinct
Bugtitherium_grandincisivum	extinct
Bunolistriodon_adelli	extinct
Bunolistriodon_affinis	extinct
Bunolistriodon_akatikubas	extinct
Bunolistriodon_anchidens	extinct
Bunolistriodon_guptai	extinct
Bunolistriodon_intermedius	extinct
Bunolistriodon_jeanneli	extinct
Bunolistriodon_latidens	extinct
Bunolistriodon_lockharti	extinct
Bunolistriodon_meidamon	extinct
Bunomeryx_montanus	extinct
Bunophorus_cappettai	extinct
Bunophorus_etsagicus	extinct
Bunophorus_grangeri	extinct
Bunophorus_macropternus	extinct
Bunophorus_pattersoni	extinct
Bunophorus_robustus	extinct
Bunophorus_sinclairi	extinct
Buxobune_daubreei	extinct
Caenomeryx_communis	extinct
Caenomeryx_filholi	extinct
Caenomeryx_procommunis	extinct
Cainochoerus_africanus	extinct
Cainotherium_bavaricum	extinct
Cainotherium_commune	extinct
Cainotherium_geoffroyi	extinct
Cainotherium_gracile	extinct
Cainotherium_huerzeleri	extinct
Cainotherium_laticurvatum	extinct
Cainotherium_lintillae	extinct
Cainotherium_miocaenicum	extinct
Camelops_hesternus	extinct
Camelops_traviswhitei	extinct
Camelus_bessarabiensis	extinct
Camelus_sivalensis	extinct
Camelus_thomasi	extinct
Canthumeryx_sirtensis	extinct
Capra_alba	extinct
Capra_baetica	extinct
Capra_caucasica	extant
Capra_dalii	extinct
Capra_ibex	extant
Capra_primaeva	extinct
Capra_pyrenaica	extant
Capreolus_caprea	extinct
Capreolus_capreolus	extant
Capreolus_constantini	extinct
Capreolus_corsicanus	extinct
Capreolus_cusanoides	extinct
Capreolus_matheroni	extinct
Capreolus_suessenbornensis	extinct
Capricamelus_gettryi	extinct
Capricornis_jianshiensis	extinct
Capricornis_sumatraensis	extant
Capromeryx_arizonensis	extinct
Capromeryx_gidleyi	extinct
Capromeryx_tauntonensis	extinct
Catagonus_brachydontus	extinct
Catodontherium_buxgovianum	extinct
Catodontherium_robiacense	extinct
Cebochoerus_fontensis	extinct
Cebochoerus_helveticus	extinct
Cebochoerus_jaegeri	extinct
Cebochoerus_robiacensis	extinct
Cebochoerus_suillus	extinct
Cephalophus_parvus	extinct
Ceratomeryx_prenticei	extinct
Cervalces_latifrons	extinct
Cervavitulus_mimus	extinct
Cervavitus_demissus	extinct
Cervavitus_fenqii	extinct
Cervavitus_flerovi	extinct
Cervavitus_novorossiae	extinct
Cervavitus_orlovi	extinct
Cervavitus_sarmaticus	extinct
Cervavitus_ultimus	extinct
Cervavitus_variabilis	extinct
Cervocerus_huadeensis	extinct
Cervocerus_novonossiae	extinct
Cervocerus_wenzensis	extinct
Cervus_australis	extinct
Cervus_canadensis	extinct
Cervus_cuvieri	extinct
Cervus_elaphus	extant
Cervus_eldii	extinct
Cervus_elsanus	extinct
Cervus_fenqii	extinct
Cervus_grayi	extinct
Cervus_grayi_var._elata	extinct
Cervus_ischnoceros	extinct
Cervus_nippon	extant
Cervus_pardinensis	extinct
Cervus_perolensis	extinct
Cervus_perrieri	extinct
Cervus_philisi	extinct
Cervus_punjabicus	extinct
Cervus_pyrenaicus	extinct
Cervus_rhenanus	extinct
Cervus_unicolor	extinct
Cervus_warthae	extinct
Chleuastochoerus_stehlini	extinct
Chleuastochoerus_tuvensis	extinct
Choerodon_caninus	extinct
Choeromorus_lemuroides	extinct
Choeropotamus_lautricensis	extinct
Choeropotamus_parisiensis	extinct
Chorlakkia_hassani	extinct
Chororatherium_roobii	extinct
Climacoceras_africanus	extinct
Climacoceras_gentryi	extinct
Connochaetes_africanus	extinct
Connochaetes_gentryi	extinct
Connochaetes_taurinus	extant
Connochaetes_tournoueri	extinct
Conohyus_giganteus	extinct
Conohyus_olujici	extinct
Conohyus_simorrensis	extinct
Cosoryx_agilis	extinct
Cosoryx_cerrosensis	extinct
Cosoryx_furcatus	extinct
Cosoryx_ilfonensis	extinct
Cosoryx_trilateralis	extinct
Cranioceras_teres	extinct
Cranioceras_unicornis	extinct
Criotherium_argalioides	extinct
Criotherium_nikolovi	extinct
Croizetoceros_pyrenaicus	extinct
Croizetoceros_ramosus	extinct
Croizetoceros_senezensis	extinct
Csakvarotherium_hungaricum	extinct
Cuisitherium_lydekkeri	extinct
Cuyamacamelus_jamesi	extinct
Cynorca_occidentale	extinct
Cynorca_sociale	extinct
Cypretherium_coarctatum	extinct
Dacrytherium_elegans	extinct
Dacrytherium_ovinum	extinct
Daeodon_hollandi	extinct
Dama_clactoniana	extinct
Dama_dama	extant
Dama_nestii	extinct
Dama_roberti	extinct
Damalacra_acalla	extinct
Damalacra_neanica	extinct
Damalavus_boroccoi	extinct
Damalborea_grayi	extinct
Damaliscus_ademassui	extinct
Damaliscus_agelaius	extinct
Damaliscus_antiquus	extinct
Damaliscus_cuiculi	extinct
Damaliscus_eppsi	extinct
Damaliscus_gentryi	extinct
Damaliscus_niro	extinct
Damalops_palaeindicus	extinct
Damalops_sidihakomai	extinct
Decennatherium_macedoniae	extinct
Decennatherium_pachecoi	extinct
Decennatherium_rex	extinct
Deperetia_ardea	extinct
Desmatochoerus_megalodon	extinct
Diacodexis_antunesi	extinct
Diacodexis_gigasei	extinct
Diacodexis_gracilis	extinct
Diacodexis_ilicus	extinct
Diacodexis_indicus	extinct
Diacodexis_metsiacus	extinct
Diacodexis_minutus	extinct
Diacodexis_pakistanensis	extinct
Diacodexis_parvus	extinct
Diacodexis_secans	extinct
Diacodexis_varleti	extinct
Diacodexis_woltonensis	extinct
Dichobune_fraasi	extinct
Dichobune_jehennei	extinct
Dichobune_leporina	extinct
Dichodon_biroi	extinct
Dichodon_cervinum	extinct
Dichodon_frohnstettense	extinct
Dichodon_subtilis	extinct
Dicoryphochoerus_vinayaki	extinct
Dicrocerus_bessarabiensis	extinct
Dicrocerus_elegans	extinct
Dicrocerus_grangeri	extinct
Dicrocerus_salomeae	extinct
Diplobune_minor	extinct
Diplobune_quercyi	extinct
Diplobune_secundaria	extinct
Discritochoerus_lapointensis	extinct
Doliochoerus_quercyi	extinct
Dorcabune_anthracotherioides	extinct
Dorcabune_liuchengense	extinct
Dorcabune_progressus	extinct
Dorcabune_sindiense	extinct
Dorcabune_welcommi	extinct
Dorcadoryx_lagrelii	extinct
Dorcadoryx_orientalis	extinct
Dorcadoryx_triquetricornis	extinct
Dorcadoxa_prorrecticornis	extinct
Dorcatherium_chappuisi	extinct
Dorcatherium_crassum	extinct
Dorcatherium_guntianum	extinct
Dorcatherium_jourdani	extinct
Dorcatherium_libiensis	extinct
Dorcatherium_majus	extinct
Dorcatherium_minimus	extinct
Dorcatherium_minus	extinct
Dorcatherium_moruorotensis	extinct
Dorcatherium_nagrii	extinct
Dorcatherium_naui	extinct
Dorcatherium_orientale	extinct
Dorcatherium_parvum	extinct
Dorcatherium_peneckei	extinct
Dorcatherium_penekei	extinct
Dorcatherium_pigotti	extinct
Dorcatherium_progressus	extinct
Dorcatherium_puyhauberti	extinct
Dorcatherium_rogeri	extinct
Dorcatherium_songhorensis	extinct
Dorcatherium_vindobonense	extinct
Dremotherium_feignouxi	extinct
Dremotherium_guthi	extinct
Drepanomeryx_falciformis	extinct
Dromomeryx_borealis	extinct
Duboisia_santeng	extinct
Dyseohyus_fricki	extinct
Dystychoceras_foveatus	extinct
Dystychoceras_macedoniensis	extinct
Dytikodorcas_longicornis	extinct
Elachistoceras_khauristanensis	extinct
Elaphodus_cephalophus	extant
Elaphurus_bifurcatus	extinct
Elaphurus_davidianus	extant
