Taxon_name,Status,MinAge,MaxAge,Site
Eomellivora_moralesi,extinct,11.592,11.592,29161
Vulpes_vulpes,extant,0.07,0.07,28260
Canis_lupus,extant,0.07,0.07,28260
Panthera_pardus,extant,0.07,0.07,28260
Panthera_spelaea,extinct,0.07,0.07,28260
Plesiogulo_botori,extinct,5.7,5.7,28329
Styriofelis_lorteti,extinct,17.2,17.2,20079
Leptoplesictis_aurelianensis,extinct,17.2,17.2,20079
Styriofelis_turnauensis,extinct,17.2,17.2,20079
Pseudaelurus_romieviensis,extinct,17.2,17.2,20079
Trochictis_carbonaria,extinct,17.2,17.2,20079
Semigenetta_repelini,extinct,17.2,17.2,20079
Styriofelis_turnauensis,extinct,19.5,19.5,21624
Viverra_leakeyi,extinct,2.19,2.19,23910
Mellivora_capensis,extant,2.19,2.19,23910
Ursus_etruscus,extinct,2.19,2.19,23910
Canis_aureus,extant,2.19,2.19,23910
Panthera_pardus,extant,2.19,2.19,23910
Felis_silvestris,extant,2.19,2.19,23910
Acinonyx_aicha,extinct,2.19,2.19,23910
Nyctereutes_abdeslami,extinct,2.19,2.19,23910
Vulpes_rueppelii,extinct,2.19,2.19,23910
Herpestes_abdelalii,extinct,2.19,2.19,23910
Ichneumia_nims,extinct,2.19,2.19,23910
Chasmaporthetes_nitidula,extinct,2.19,2.19,23910
Pliocrocuta_perrieri,extinct,2.19,2.19,23910
Prepoecilogale_bolti,extinct,2.19,2.19,23910
Lutra_fatimazohrae,extinct,2.19,2.19,23910
Poecilictis_libyca,extinct,2.19,2.19,23910
Hyaena_abronia,extinct,2.19,2.19,23910
Crocuta_dietrichi,extinct,2.19,2.19,23910
Vulpes_vulpes,extant,2.5,2.5,23190
Canis_anthus,extinct,2.5,2.5,23190
Crocuta_crocuta,extant,3.55,3.55,23893
Hyaena_hyaena,extant,3.55,3.55,23893
Homotherium_africanum,extinct,3.55,3.55,23893
Crocuta_crocuta,extant,1.8,1.8,23189
Vulpes_vulpes,extant,1.8,1.8,23189
Canis_atrox,extinct,1.8,1.8,23189
Protictitherium_crassum,extinct,11.2,11.2,23649
Percrocuta_senyureki,extinct,11.2,11.2,23649
Ictitherium_robustum,extinct,11.2,11.2,23274
