Species	Status
Acheronictis_webbi	extinct
Acinonyx_aicha	extinct
Acinonyx_crassidens	extinct
Acinonyx_jubatus	extant
Acinonyx_pardinensis	extinct
Acinonyx_pleistocaenicus	extinct
Actiocyon_leardi	extinct
Adcrocuta_eximia	extinct
Adelphailurus_kansensis	extinct
Adilophontes_brackykolos	extinct
Adroverictis_ginsburgi	extinct
Aelurodon_aesthenostylus	extinct
Aelurodon_ferox	extinct
Aelurodon_francisi	extinct
Aelurodon_marshi	extinct
Aelurodon_mcgrewi	extinct
Aelurodon_montanensis	extinct
Aelurodon_stirtoni	extinct
Aelurodon_taxoides	extinct
Africanictis_hyaenoides	extinct
Africanictis_meini	extinct
Afrocyon_buroletti	extinct
Afrosmilus_africanus	extinct
Afrosmilus_hispanicus	extinct
Agnotherium_antiquum	extinct
Agnotherium_grivense	extinct
Agnotherium_kiptalami	extinct
Agriarctos_beatrix	extinct
Agriarctos_depereti	extinct
Agriotherium_inexpetans	extinct
Agriotherium_insigne	extinct
Agriotherium_intermedium	extinct
Agriotherium_roblesi	extinct
Agriotherium_schneideri	extinct
Ailurarctos_lufengensis	extinct
Ailuropoda_melanoleuca	extant
Ailuropoda_microta	extinct
Ailuropoda_wulingshanensis	extinct
Ailurus_fulgens	extant
Aktaucyon_brachifacialis	extinct
Albanosmilus_jourdani	extinct
Allocyon_loganensis	extinct
Allohyaena_kadici	extinct
Alopecocyon_goeriachensis	extinct
Alopecocyon_leptorhynchus	extinct
Amphicticeps_shackelfordi	extinct
Amphictis_aginensis	extinct
Amphictis_ambigua	extinct
Amphictis_antiqua	extinct
Amphictis_borbonica	extinct
Amphictis_cuspida	extinct
Amphictis_lemanensis	extinct
Amphictis_milloquensis	extinct
Amphictis_schlosseri	extinct
Amphictis_wintershofensis	extinct
Amphicyon_astrei	extinct
Amphicyon_bohemicus	extinct
Amphicyon_confucianus	extinct
Amphicyon_cooperi	extinct
Amphicyon_frendens	extinct
Amphicyon_galushai	extinct
Amphicyon_giganteus	extinct
Amphicyon_ingens	extinct
Amphicyon_lactorensis	extinct
Amphicyon_lathanicus	extinct
Amphicyon_major	extinct
Amphicyon_minor	extinct
Amphicyon_olisiponensis	extinct
Amphicyon_palaeindicus	extinct
Amphicyon_reinheimeri	extinct
Amphicyon_tairumensis	extinct
Amphicyon_ulungurensis	extinct
Amphicyon_youngi	extinct
Amphicyonopsis_serus	extinct
Amphimachairodus_coloradensis	extinct
Amphimachairodus_copei	extinct
Amphimachairodus_giganteus	extinct
Amphimachairodus_irtyschensis	extinct
Amphimachairodus_kabir	extinct
Amphimachairodus_kurteni	extinct
Amphimachairodus_palanderi	extinct
Amphimachairodus_romeri	extinct
Anatolictis_laevicaninus	extinct
Aonyx_capensis	extant
Archaeocyon_falchenbachi	extinct
Archaeocyon_leptodus	extinct
Archaeocyon_pavidus	extinct
Arctodus_pristinus	extinct
Arctomeles_dimolodontus	extinct
Arctomeles_pliocaenicus	extinct
Arctomeles_sotnikovae	extinct
Arctonasua_eurybates	extinct
Arctonasua_floridana	extinct
Arctonasua_fricki	extinct
Arctonasua_gracilis	extinct
Arctonasua_minima	extinct
Arctonyx_collaris	extant
Arctonyx_minor	extinct
Arikarictis_chapini	extinct
Atilax_mesotes	extinct
Ballusia_elmensis	extinct
Ballusia_hareni	extinct
Baranogale_adroveri	extinct
Baranogale_antiqua	extinct
Baranogale_balkanica	extinct
Baranogale_beremendensis	extinct
Baranogale_helbingi	extinct
Barbourofelis_fricki	extinct
Barbourofelis_lovei	extinct
Barbourofelis_morrisi	extinct
Barbourofelis_piveteaui	extinct
Barbourofelis_whitfordi	extinct
Bassaricyonoides_stewartae	extinct
Bassariscus_antiquus	extinct
Bassariscus_casei	extinct
Bassariscus_minimus	extinct
Bassariscus_ogallalae	extinct
Bassariscus_parvus	extinct
Bathygale_julieni	extinct
Bathygale_lemanensis	extinct
Belbus_beaumonti	extinct
Belbus_djurabensis	extinct
Bonisicyon_illacabo	extinct
Borocyon_neomexicanus	extinct
Borocyon_niobrarensis	extinct
Borocyon_robustum	extinct
Borophagus_diversidens	extinct
Borophagus_dudleyi	extinct
Borophagus_hilli	extinct
Borophagus_littoralis	extinct
Borophagus_orc	extinct
Borophagus_parvus	extinct
Borophagus_pugnator	extinct
Borophagus_secundus	extinct
Borophagus_solus	extinct
Brachyopsigale_dubius	extinct
Brachypsalis_hyaenoides	extinct
Brachypsalis_matutinus	extinct
Brachypsalis_modicus	extinct
Brachypsalis_obliquidens	extinct
Brachypsalis_pachycephalus	extinct
Brachyrhynchocyon_dodgei	extinct
Brachyrhynchocyon_montanus	extinct
Broiliana_dehmi	extinct
Broiliana_nobilis	extinct
Bryanictis_microlestes	extinct
Buisnictis_breviramus	extinct
Buisnictis_burrowsi	extinct
Buisnictis_chisoensis	extinct
Buisnictis_schoffi	extinct
Caedocyon_tedfordi	extinct
Canimartes_cumminsi	extinct
Canis_anthus	extinct
Canis_armbrusteri	extinct
Canis_arnensis	extinct
Canis_atrox	extinct
Canis_aureus	extant
Canis_borjgali	extinct
Canis_brevirostris	extinct
Canis_chihliensis	extinct
Canis_edwardii	extinct
Canis_etruscus	extinct
Canis_ferox	extinct
Canis_lepophagus	extinct
Canis_longdanensis	extinct
Canis_lupus	extant
Canis_mesomelas	extant
Canis_mosbachensis	extinct
Canis_multicuspus	extinct
Canis_palmidens	extinct
Canis_primaevus	extinct
Canis_senezensis	extinct
Canis_teilhardi	extinct
Canis_thooides	extinct
Canis_variabilis	extinct
Caracal_caracal	extant
Carpocyon_compressus	extinct
Carpocyon_limosus	extinct
Carpocyon_robustus	extinct
Carpocyon_webbi	extinct
Catopuma_temminckii	extant
Cephalogale_bonali	extinct
Cephalogale_brevirostris	extinct
Cephalogale_geoffroyi	extinct
Cephalogale_gracile	extinct
Cephalogale_meschethense	extinct
Cephalogale_minor	extinct
Cerdocyon_avius	extinct
Cerdocyon_texanus	extinct
Cernictis_hesperus	extinct
Chamitataxus_avitatus	extinct
Chasmaporthetes_australis	extinct
Chasmaporthetes_bonisi	extinct
Chasmaporthetes_borissiaki	extinct
Chasmaporthetes_lunensis	extinct
Chasmaporthetes_nitidula	extinct
Chasmaporthetes_ossifragus	extinct
Chrysocyon_nearcticus	extinct
Circamustela_dechaseauxi	extinct
Conepatus_leuconotus	extant
Cormocyon_copei	extinct
Cormocyon_haydeni	extinct
Crassidia_intermedia	extinct
Craterogale_simus	extinct
Crocuta_crocuta	extant
Crocuta_dietrichi	extinct
Crocuta_eldarica	extinct
Crocuta_honanensis	extinct
Crocuta_miriani	extinct
Crocuta_spelaea	extinct
Crocuta_ultima	extinct
Crocuta_ultra	extinct
