Taxon_name,Status,MinAge,MaxAge,Site
Tinerhodon_disputatum,extinct,59.2,59.2,22615
Hyainailouros_sulzeri,extinct,17.2,17.2,20079
Hyaenodon_exiguus,extinct,28.82,28.82,22852
Hyainailouros_sulzeri,extinct,16.4,16.4,22345
Hyainailouros_sulzeri,extinct,17.2,17.2,20006
Hyainailouros_sulzeri,extinct,17.2,17.2,20077
Hyainailouros_sulzeri,extinct,17.2,17.2,24411
Paratritemnodon_jandewalensis,extinct,56.0,56.0,26589
Hyainailouros_sulzeri,extinct,16.4,16.4,21457
Hyaenodon_aymardi,extinct,27.82,27.82,27119
Hyainailouros_sulzeri,extinct,16.4,16.4,27280
Hyainailouros_sulzeri,extinct,17.2,17.2,23262
Hyainailouros_napakensis,extinct,17.2,17.2,23262
Hyaenodon_venturae,extinct,39.83,39.83,10024
Hyaenodon_vetus,extinct,39.83,39.83,10033
Hyaenodon_venturae,extinct,39.83,39.83,10033
Hyaenodon_dubius,extinct,32.63,32.63,29034
Hyaenodon_leptorhynchus,extinct,32.63,32.63,29034
Tytthaena_parrisi,extinct,59.61,59.61,10166
Dipsalodon_churchillorum,extinct,58.24,58.24,10169
Tytthaena_lichna,extinct,57.24,57.24,10188
Dipsalidictis_krausei,extinct,57.24,57.24,10188
Dipsalidictis_platypus,extinct,57.04,57.04,10190
Dipsalidictis_aequidens,extinct,57.04,57.04,10190
Dipsalidictis_krausei,extinct,57.04,57.04,10190
Dipsalodon_matthewi,extinct,57.04,57.04,10190
Dipsalidictis_platypus,extinct,56.54,56.54,10192
Dipsalidictis_aequidens,extinct,56.54,56.54,10192
Dipsalidictis_krausei,extinct,56.54,56.54,10192
Palaeonictis_peloria,extinct,56.54,56.54,10192
Dipsalidictis_platypus,extinct,55.79,55.79,10193
Dipsalidictis_transiens,extinct,55.79,55.79,10193
Oxyaena_gulo,extinct,55.79,55.79,10193
Oxyaena_intermedia,extinct,55.79,55.79,10193
Oxyaena_forcipata,extinct,55.79,55.79,10193
Palaeonictis_occidentalis,extinct,55.79,55.79,10193
Ambloctonus_priscus,extinct,55.79,55.79,10193
Prototomus_deimos,extinct,55.79,55.79,10193
Prototomus_phobos,extinct,55.79,55.79,10193
Prototomus_martis,extinct,55.79,55.79,10193
Prototomus_robustus,extinct,55.79,55.79,10193
Arfia_opisthotoma,extinct,55.79,55.79,10193
Arfia_shoshoniensis,extinct,55.79,55.79,10193
Arfia_zele,extinct,55.79,55.79,10193
Arfia_junnei,extinct,55.79,55.79,10193
Tritemnodon_strenuus,extinct,55.79,55.79,10193
Pyrocyon_dioctetus,extinct,55.79,55.79,10193
Acarictis_ryani,extinct,55.79,55.79,10193
Galecyon_mordax,extinct,55.79,55.79,10193
Prolimnocyon_atavus,extinct,55.79,55.79,10193
Prolimnocyon_haematus,extinct,55.79,55.79,10193
Prolimnocyon_eerius,extinct,55.79,55.79,10193
Dipsalidictis_transiens,extinct,55.96,55.96,10200
Oxyaena_gulo,extinct,55.96,55.96,10200
Oxyaena_intermedia,extinct,55.96,55.96,10200
Palaeonictis_occidentalis,extinct,55.96,55.96,10200
Ambloctonus_priscus,extinct,55.96,55.96,10200
Prototomus_secundarius,extinct,55.96,55.96,10200
Prototomus_deimos,extinct,55.96,55.96,10200
Prototomus_phobos,extinct,55.96,55.96,10200
Prototomus_martis,extinct,55.96,55.96,10200
Prototomus_robustus,extinct,55.96,55.96,10200
Arfia_opisthotoma,extinct,55.96,55.96,10200
Arfia_shoshoniensis,extinct,55.96,55.96,10200
Tritemnodon_strenuus,extinct,55.96,55.96,10200
Prolimnocyon_atavus,extinct,55.96,55.96,10200
Prolimnocyon_haematus,extinct,55.96,55.96,10200
Arfia_junnei,extinct,55.96,55.96,10201
Acarictis_ryani,extinct,55.96,55.96,10201
Oxyaena_forcipata,extinct,54.05,54.05,10202
Ambloctonus_sinosus,extinct,54.05,54.05,10202
Prototomus_viverrinus,extinct,54.05,54.05,10202
Prototomus_secundarius,extinct,54.05,54.05,10202
Tritemnodon_strenuus,extinct,54.05,54.05,10202
Prolimnocyon_atavus,extinct,54.05,54.05,10202
Prototomus_robustus,extinct,54.61,54.61,10203
Oxyaena_forcipata,extinct,53.42,53.42,10204
Ambloctonus_major,extinct,53.42,53.42,10204
Prototomus_viverrinus,extinct,53.42,53.42,10204
Prototomus_secundarius,extinct,53.42,53.42,10204
Tritemnodon_strenuus,extinct,53.42,53.42,10204
Prolimnocyon_atavus,extinct,53.42,53.42,10204
Oxyaena_pardalis,extinct,53.07,53.07,10205
Prototomus_viverrinus,extinct,53.07,53.07,10205
Gazinocyon_vulpeculus,extinct,53.07,53.07,10205
Tritemnodon_strenuus,extinct,53.07,53.07,10205
Prolimnocyon_antiquus,extinct,53.07,53.07,10205
Prolimnocyon_elisabethae,extinct,53.07,53.07,10205
Tytthaena_parrisi,extinct,59.61,59.61,10215
Arfia_zele,extinct,55.79,55.79,10219
Galecyon_mordax,extinct,55.79,55.79,10219
Prolimnocyon_haematus,extinct,55.79,55.79,10219
Oxyaena_lupina,extinct,55.79,55.79,10220
Prototomus_secundarius,extinct,55.79,55.79,10220
Prototomus_secundarius,extinct,55.79,55.79,10221
Tritemnodon_strenuus,extinct,55.79,55.79,10221
Prototomus_secundarius,extinct,54.05,54.05,10222
Ambloctonus_major,extinct,53.07,53.07,10223
Oxyaena_lupina,extinct,53.07,53.07,10224
Ambloctonus_major,extinct,53.07,53.07,10224
Prototomus_viverrinus,extinct,53.07,53.07,10224
Gazinocyon_vulpeculus,extinct,53.07,53.07,10224
Tritemnodon_strenuus,extinct,53.07,53.07,10224
Prolimnocyon_elisabethae,extinct,53.07,53.07,10224
Oxyaena_lupina,extinct,53.07,53.07,10226
Oxyaena_forcipata,extinct,53.07,53.07,10226
Gazinocyon_vulpeculus,extinct,53.07,53.07,10226
Prolimnocyon_antiquus,extinct,53.07,53.07,10226
Dipsalidictis_platypus,extinct,57.04,57.04,10234
Dipsalidictis_krausei,extinct,57.04,57.04,10234
Dipsalodon_matthewi,extinct,57.04,57.04,10234
Dipsalodon_churchillorum,extinct,57.04,57.04,10234
Oxyaena_gulo,extinct,55.54,55.54,10235
Dipsalidictis_transiens,extinct,55.07,55.07,10236
Prototomus_phobos,extinct,55.07,55.07,10236
Prolimnocyon_atavus,extinct,55.07,55.07,10236
Oxyaena_forcipata,extinct,53.42,53.42,10237
Gazinocyon_vulpeculus,extinct,53.42,53.42,10237
