Species	Status
Acarictis_ryani	extinct
Ambloctonus_hyaenoides	extinct
Ambloctonus_major	extinct
Ambloctonus_priscus	extinct
Ambloctonus_sinosus	extinct
Anasinopa_hassi	extinct
Anasinopa_leakeyi	extinct
Apataelurus_kayi	extinct
Apterodon_gaudryi	extinct
Apterodon_macrognathus	extinct
Apterodon_minutus	extinct
Arfia_junnei	extinct
Arfia_opisthotoma	extinct
Arfia_shoshoniensis	extinct
Arfia_zele	extinct
Boualitomus_marocanensis	extinct
Buhakia_mogharensis	extinct
Cynohyaenodon_lautricensis	extinct
Cynohyaenodon_trux	extinct
Dipsalidictis_aequidens	extinct
Dipsalidictis_krausei	extinct
Dipsalidictis_platypus	extinct
Dipsalidictis_transiens	extinct
Dipsalodon_churchillorum	extinct
Dipsalodon_matthewi	extinct
Dissopsalis_carnifex	extinct
Dissopsalis_pyroclasticus	extinct
Dormaalodon_woutersi	extinct
Eurotherium_matthesi	extinct
Galecyon_mordax	extinct
Gazinocyon_vulpeculus	extinct
Glibzegdouia_tabelbalaensis	extinct
Hemipsalodon_grandis	extinct
Hemipsalodon_viejaensis	extinct
Hyaenodon_andrewsi	extinct
Hyaenodon_aymardi	extinct
Hyaenodon_brachyrhynchus	extinct
Hyaenodon_brevirostris	extinct
Hyaenodon_chunkhtensis	extinct
Hyaenodon_crucians	extinct
Hyaenodon_dubius	extinct
Hyaenodon_exiguus	extinct
Hyaenodon_gervaisi	extinct
Hyaenodon_horridus	extinct
Hyaenodon_incertus	extinct
Hyaenodon_leptorhynchus	extinct
Hyaenodon_matthewi	extinct
Hyaenodon_megaloides	extinct
Hyaenodon_microdon	extinct
Hyaenodon_minor	extinct
Hyaenodon_montanus	extinct
Hyaenodon_mustelinus	extinct
Hyaenodon_pervagus	extinct
Hyaenodon_pilgrimi	extinct
Hyaenodon_raineyi	extinct
Hyaenodon_requieni	extinct
Hyaenodon_venturae	extinct
Hyaenodon_vetus	extinct
Hyaenodon_weilini	extinct
Hyainailouros_bugtiensis	extinct
Hyainailouros_fourtaui	extinct
Hyainailouros_napakensis	extinct
Hyainailouros_nyanzae	extinct
Hyainailouros_sulzeri	extinct
Ischnognathus_savagei	extinct
Isohyaenodon_andrewsi	extinct
Koholia_atlasense	extinct
Kyawdawia_lupina	extinct
Leakeytherium_hiwegi	extinct
Lesmesodon_behnkeae	extinct
Limnocyon_cuspidens	extinct
Limnocyon_potens	extinct
Limnocyon_verus	extinct
Machaeroides_eothen	extinct
Machaeroides_simpsoni	extinct
Malfelis_badwaterensis	extinct
Matthodon_tritens	extinct
Megistotherium_osteothlastes	extinct
Metapterodon_brachycephalus	extinct
Metapterodon_kaiseri	extinct
Metapterodon_stromeri	extinct
Metasinopa_ethiopica	extinct
Metasinopa_napaki	extinct
Orienspterodon_dahkoensis	extinct
Oxyaena_casieri	extinct
Oxyaena_forcipata	extinct
Oxyaena_gulo	extinct
Oxyaena_intermedia	extinct
Oxyaena_lupina	extinct
Oxyaena_pardalis	extinct
Oxyaena_simpsoni	extinct
Oxyaenodon_dysodus	extinct
Oxyaenoides_bicuspidens	extinct
Palaeonictis_gigantea	extinct
Palaeonictis_occidentalis	extinct
Palaeonictis_peloria	extinct
Paracynohyaenodon_schlosseri	extinct
Paratritemnodon_indicus	extinct
Paratritemnodon_jandewalensis	extinct
Patriofelis_coloradensis	extinct
Patriofelis_ferox	extinct
Patriofelis_ulta	extinct
Prodissopsalis_eocaenicus	extinct
Prolimnocyon_antiquus	extinct
Prolimnocyon_atavus	extinct
Prolimnocyon_eerius	extinct
Prolimnocyon_elisabethae	extinct
Prolimnocyon_haematus	extinct
Prolimnocyon_iudei	extinct
Protopsalis_tigrinus	extinct
Prototomus_bulbosus	extinct
Prototomus_deimos	extinct
Prototomus_martis	extinct
Prototomus_minor	extinct
Prototomus_palaeonictides	extinct
Prototomus_phobos	extinct
Prototomus_robustus	extinct
Prototomus_secundarius	extinct
Prototomus_viverrinus	extinct
Proviverra_edingeri	extinct
Proviverra_gracilis	extinct
Proviverra_typica	extinct
Proviverroides_piercei	extinct
Pterodon_africanus	extinct
Pterodon_dasyuroides	extinct
Pterodon_galliae	extinct
Pterodon_kaiseri	extinct
Pterodon_leptognathus	extinct
Pterodon_nyanzae	extinct
Pterodon_phiomensis	extinct
Pterodon_zadoki	extinct
Pyrocyon_dioctetus	extinct
Sinopa_aethiopica	extinct
Sinopa_grangeri	extinct
Sinopa_major	extinct
Sinopa_minor	extinct
Sinopa_pungens	extinct
Sinopa_rapax	extinct
Teratodon_spekei	extinct
Thereutherium_thylacodes	extinct
Thinocyon_cledensis	extinct
Thinocyon_comptus	extinct
Thinocyon_medius	extinct
Thinocyon_mustelinus	extinct
Thinocyon_velox	extinct
Tinerhodon_disputatum	extinct
Tritemnodon_agilis	extinct
Tritemnodon_strenuus	extinct
Tytthaena_lichna	extinct
Tytthaena_parrisi	extinct
Yarshea_cruenta	extinct
