Taxon_name,Status,MinAge,MaxAge,Site
Coelodonta_antiquitatis,extinct,0.0295,0.0295,27232
Equus_ferus,extinct,0.07,0.07,28260
Stephanorhinus_hemitoechus,extinct,0.07,0.07,28260
Cremohipparion_mediterraneum,extinct,8.9,8.9,20859
Hippotherium_brachypus,extinct,8.9,8.9,20859
Lartetotherium_sansaniense,extinct,17.2,17.2,20133
Eurygnathohippus_feibeli,extinct,5.7,5.7,28329
Equus_stenonis,extinct,2.5,2.5,20797
Brachypotherium_brachypus,extinct,17.2,17.2,20079
Prosantorhinus_douvillei,extinct,17.2,17.2,20079
Eurygnathohippus_feibeli,extinct,5.2,5.2,28330
Ceratotherium_mauritanicum,extinct,2.19,2.19,23910
Equus_numidicus,extinct,2.5,2.5,23190
Ceratotherium_mauritanicum,extinct,2.5,2.5,23190
Eurygnathohippus_libycus,extinct,2.5,2.5,23190
Ceratotherium_mauritanicum,extinct,3.55,3.55,23893
Eurygnathohippus_libycus,extinct,3.55,3.55,23893
Hipparion_sitifense,extinct,3.6,3.6,26834
Hipparion_sitifense,extinct,3.6,3.6,20458
Equus_tabeti,extinct,1.8,1.8,23189
Ceratotherium_mauritanicum,extinct,1.8,1.8,23189
Eurygnathohippus_libycus,extinct,1.8,1.8,23189
Equus_tabeti,extinct,2.58,2.58,23911
Equus_numidicus,extinct,2.58,2.58,23911
Hipparion_sitifense,extinct,2.58,2.58,23911
Eurygnathohippus_libycus,extinct,2.58,2.58,23911
Dihoplus_pikermiensis,extinct,4.8625,4.8625,20823
Hipparion_houfenense,extinct,4.8625,4.8625,20823
Hipparion_hippidiodus,extinct,4.8625,4.8625,20823
Hoploaceratherium_tetradactylum,extinct,17.2,17.2,23449
Subchilotherium_intermedium,extinct,11.2,11.2,23649
Chalicotherium_goldfussi,extinct,11.2,11.2,23649
Acerorhinus_zernowi,extinct,11.2,11.2,23649
Pliodiceros_neumayri,extinct,11.2,11.2,23649
Cremohipparion_matthewi,extinct,7.6,7.6,22919
Cremohipparion_mediterraneum,extinct,7.6,7.6,22919
Ancylotherium_pentelicum,extinct,7.6,7.6,22919
Pliodiceros_neumayri,extinct,7.6,7.6,22919
Chilotherium_habereri,extinct,11.2,11.2,23274
Pliodiceros_neumayri,extinct,11.2,11.2,23274
Dihoplus_pikermiensis,extinct,7.6,7.6,23659
Hipparion_dietrichi,extinct,7.6,7.6,23659
Cremohipparion_moldavicum,extinct,7.6,7.6,23659
Plesiohipparion_longipes,extinct,7.6,7.6,23659
Ancylotherium_pentelicum,extinct,7.6,7.6,23659
Pliodiceros_neumayri,extinct,7.6,7.6,23659
Hippotherium_brachypus,extinct,7.6,7.6,23659
Zaisanamynodon_borisovi,extinct,41.2,41.2,28081
Diaceratherium_aurelianense,extinct,19.5,19.5,20781
Anchitherium_aurelianense,extinct,16.4,16.4,22940
Anchitherium_gobiensis,extinct,16.4,16.4,22940
Dicerorhinus_primaevus,extinct,14.2,14.2,20134
Chilotherium_schlosseri,extinct,5.333,5.333,20783
Alicornops_simorrensis,extinct,12.85,12.85,21705
Eurygnathohippus_feibeli,extinct,5.7,5.7,28331
Chalicotherium_goldfussi,extinct,7.246,7.246,23232
Ceratotherium_praecox,extinct,7.246,7.246,23232
Diceros_bicornis,extant,7.246,7.246,23232
Eurygnathohippus_turkanense,extinct,7.246,7.246,23232
Hipparion_sitifense,extinct,7.246,7.246,23232
Diceros_bicornis,extant,3.6,3.6,23241
Brachypotherium_lewisi,extinct,7.246,7.246,23244
Ceratotherium_praecox,extinct,5.333,5.333,23233
Diceros_bicornis,extant,5.333,5.333,23233
Eurygnathohippus_turkanense,extinct,5.333,5.333,23233
Hipparion_sitifense,extinct,5.333,5.333,23233
Eurygnathohippus_woldegabrieli,extinct,3.6,3.6,23234
Ancylotherium_hennigi,extinct,3.6,3.6,23235
Ceratotherium_praecox,extinct,3.6,3.6,23235
Eurygnathohippus_woldegabrieli,extinct,3.6,3.6,23235
Equus_numidicus,extinct,3.6,3.6,23235
Hipparion_macrodon,extinct,11.63,11.63,23237
Hipparion_sitifense,extinct,7.246,7.246,23238
Palaeotherium_castrense,extinct,33.9,33.9,27505
Dihoplus_schleiermacheri,extinct,5.3,5.3,20094
Plesiohipparion_crassum,extinct,5.3,5.3,20094
Hipparion_gromovae,extinct,5.3,5.3,20094
Dihoplus_schleiermacheri,extinct,5.3,5.3,27295
Plesiohipparion_crassum,extinct,5.3,5.3,27295
Aceratherium_acutirostratum,extinct,13.82,13.82,26868
Dicerorhinus_leakeyi,extinct,13.82,13.82,26868
Alicornops_simorrensis,extinct,14.2,14.2,27274
Anchitherium_cursor,extinct,14.2,14.2,27274
Cremohipparion_mediterraneum,extinct,8.9,8.9,20858
Equus_stenonis,extinct,3.55,3.55,21034
Hippotherium_primigenium,extinct,7.6,7.6,21287
Equus_stenonis,extinct,2.5,2.5,20391
Hippotherium_primigenium,extinct,8.9,8.9,20614
Hipparion_hippidiodus,extinct,8.9,8.9,20614
Hipparion_hippidiodus,extinct,8.9,8.9,20614
Sivalhippus_theobaldi,extinct,8.9,8.9,20614
Chilotherium_wimani,extinct,8.9,8.9,20614
Sivalhippus_theobaldi,extinct,8.9,8.9,20614
Chilotherium_schlosseri,extinct,7.1,7.1,23345
Pliodiceros_neumayri,extinct,7.1,7.1,23345
Eurygnathohippus_woldegabrieli,extinct,5.2,5.2,28332
Eurygnathohippus_feibeli,extinct,5.2,5.2,28332
Eurygnathohippus_feibeli,extinct,5.2,5.2,28333
Eurygnathohippus_cornelianus,extinct,1.8,1.8,23266
Dihoplus_schleiermacheri,extinct,7.1,7.1,20135
Stephanorhinus_megarhinus,extinct,5.0,5.0,20751
Anchitherium_aurelianense,extinct,12.85,12.85,20600
Ceratotherium_praecox,extinct,5.3,5.3,23208
Diceros_bicornis,extant,5.3,5.3,23208
Brachypotherium_lewisi,extinct,5.3,5.3,23208
Plesiohipparion_crassum,extinct,5.0,5.0,20473
Stephanorhinus_elatus,extinct,3.55,3.55,24420
Eurygnathohippus_woldegabrieli,extinct,4.4,4.4,28322
Hipparion_gromovae,extinct,7.1,7.1,21386
Equus_ferus,extinct,0.379,0.379,28784
Equus_ferus,extinct,0.379,0.379,28781
Equus_hydruntinus,extinct,0.379,0.379,28783
Equus_ferus,extinct,0.379,0.379,28783
Equus_ferus,extinct,0.379,0.379,28779
Equus_ferus,extinct,0.379,0.379,28780
Alicornops_simorrensis,extinct,17.2,17.2,20485
Hispanotherium_matritense,extinct,17.2,17.2,20485
Dihoplus_schleiermacheri,extinct,7.1,7.1,20686
Hippotherium_primigenium,extinct,7.1,7.1,20686
Hipparion_concudense,extinct,7.1,7.1,20686
Cremohipparion_periafricanum,extinct,7.1,7.1,20686
Hippotherium_primigenium,extinct,7.1,7.1,20686
Hipparion_gromovae,extinct,7.1,7.1,20686
