Species	Status
Aceratherium_acutirostratum	extinct
Aceratherium_campbelli	extinct
Aceratherium_gobiense	extinct
Aceratherium_huadeensis	extinct
Aceratherium_incisivum	extinct
Aceratherium_lydekkeri	extinct
Aceratherium_paulhiacensis	extinct
Aceratherium_perimense	extinct
Aceratherium_porpani	extinct
Aceratherium_simorrense	extinct
Aceratherium_simplex	extinct
Aceratherium_transcaucasicum	extinct
Acerorhinus_fuguensis	extinct
Acerorhinus_hezhengensis	extinct
Acerorhinus_neleus	extinct
Acerorhinus_palaeosinensis	extinct
Acerorhinus_tianzhuense	extinct
Acerorhinus_tsaidamensis	extinct
Acerorhinus_yuanmouensis	extinct
Acerorhinus_zernowi	extinct
Acritohippus_isonesus	extinct
Acritohippus_quinni	extinct
Acritohippus_stylodontus	extinct
Acritohippus_tertius	extinct
Alicornops_alfambrensis	extinct
Alicornops_complanatum	extinct
Alicornops_laogouense	extinct
Alicornops_simorrensis	extinct
Amphicaenopus_platycephalus	extinct
Amynodon_advenus	extinct
Amynodon_reedi	extinct
Amynodontopsis_bodei	extinct
Anchilophus_desmaresti	extinct
Anchilophus_dumasi	extinct
Anchilophus_gaudini	extinct
Anchilophus_gaudryi	extinct
Anchilophus_radegondensis	extinct
Anchippus_texanus	extinct
Anchitherium_alberdiae	extinct
Anchitherium_aurelianense	extinct
Anchitherium_clarenci	extinct
Anchitherium_cursor	extinct
Anchitherium_ezquerrae	extinct
Anchitherium_gobiensis	extinct
Anchitherium_hippoides	extinct
Anchitherium_hypohippoides	extinct
Anchitherium_matritense	extinct
Anchitherium_navasotae	extinct
Anchitherium_parequinum	extinct
Ancylotherium_cheboitense	extinct
Ancylotherium_grivensis	extinct
Ancylotherium_hennigi	extinct
Ancylotherium_pentelicum	extinct
Anisodon_grande	extinct
Anisodon_macedonicus	extinct
Anisodon_wuduensis	extinct
Anthracobune_aijiensis	extinct
Aphelops_malacorhinus	extinct
Aphelops_megalodus	extinct
Aphelops_mutilus	extinct
Aprotodon_fatehjangense	extinct
Aprotodon_lanzhouensis	extinct
Aprotodon_smithwoodwardi	extinct
Archaeohippus_blackbergi	extinct
Archaeohippus_mannulus	extinct
Archaeohippus_minimus	extinct
Archaeohippus_mourningi	extinct
Archaeohippus_penultimatus	extinct
Archaeohippus_stenolophus	extinct
Archaeohippus_ultimus	extinct
Ardynia_altidentata	extinct
Ardynia_plicidentata	extinct
Arenahippus_aemulor	extinct
Arenahippus_grangeri	extinct
Arenahippus_pernix	extinct
Astrohippus_ansae	extinct
Astrohippus_stockii	extinct
Atalonodon_monterini	extinct
Bahinolophus_birmanicus	extinct
Begertherium_alpani	extinct
Benaratherium_callistrati	extinct
Brachypotherium_brachypus	extinct
Brachypotherium_fatehjangense	extinct
Brachypotherium_goldfussi	extinct
Brachypotherium_lewisi	extinct
Brachypotherium_minor	extinct
Brachypotherium_perimense	extinct
Brachypotherium_shanwangensis	extinct
Brachypotherium_snowi	extinct
Bugtirhinus_praecursor	extinct
Bunobrontops_savagei	extinct
Butleria_rusingense	extinct
Cadurcodon_ardynensis	extinct
Cadurcotherium_cayluxi	extinct
Cadurcotherium_indicum	extinct
Cadurcotherium_minus	extinct
Cadurcotherium_nouleti	extinct
Caementodon_caucasicum	extinct
Caementodon_oettingenae	extinct
Calippus_castilli	extinct
Calippus_cerasinus	extinct
Calippus_circulus	extinct
Calippus_elachistus	extinct
Calippus_hondurensis	extinct
Calippus_labrosus	extinct
Calippus_maccartyi	extinct
Calippus_martini	extinct
Calippus_placidus	extinct
Calippus_proplacidus	extinct
Calippus_regulus	extinct
Cambaytherium_bidens	extinct
Cambaytherium_minor	extinct
Cambaytherium_thewissi	extinct
Cardiolophus_radinskyi	extinct
Cardiolophus_semihians	extinct
Ceratotherium_efficax	extinct
Ceratotherium_mauritanicum	extinct
Ceratotherium_praecox	extinct
Ceratotherium_simum	extant
Chalicotherium_baltavarense	extinct
Chalicotherium_brevirostris	extinct
Chalicotherium_goldfussi	extinct
Chalicotherium_salinum	extinct
Chasmotherium_cartieri	extinct
Chemositia_tugenensis	extinct
Chilotheridium_pattersoni	extinct
Chilotherium_anderssoni	extinct
Chilotherium_chabereri	extinct
Chilotherium_eldaricum	extinct
Chilotherium_habereri	extinct
Chilotherium_kiliasi	extinct
Chilotherium_kowalevskii	extinct
Chilotherium_orlovi	extinct
Chilotherium_palaeosinensis	extinct
Chilotherium_persiae	extinct
Chilotherium_primigenius	extinct
Chilotherium_samium	extinct
Chilotherium_sarmaticum	extinct
Chilotherium_schlosseri	extinct
Chilotherium_wimani	extinct
Chilotherium_xizangensis	extinct
Chilotherium_yunnaensis	extinct
Coelodonta_antiquitatis	extinct
Coelodonta_nihowanensis	extinct
Coelodonta_thibetana	extinct
Coelodonta_tologoijensis	extinct
Coelodonta_yanshanensis	extinct
Cormohipparion_africanum	extinct
Cormohipparion_chiai	extinct
Cormohipparion_emsliei	extinct
Cormohipparion_fricki	extinct
Cormohipparion_goorisi	extinct
Cormohipparion_ingenuum	extinct
Cormohipparion_johnsoni	extinct
Cormohipparion_matthewi	extinct
Cormohipparion_merriami	extinct
Cormohipparion_occidentale	extinct
Cormohipparion_plicatile	extinct
Cormohipparion_quinni	extinct
Cormohipparion_sinapensis	extinct
Cormohipparion_skinneri	extinct
Cormohipparion_weihoense	extinct
Cremohipparion_macedonicum	extinct
Cremohipparion_matthewi	extinct
Cremohipparion_mediterraneum	extinct
Cremohipparion_moldavicum	extinct
Cremohipparion_nikosi	extinct
Cremohipparion_periafricanum	extinct
Cremohipparion_proboscideum	extinct
Desmatippus_avus	extinct
Desmatippus_coloradensis	extinct
Desmatippus_crenidens	extinct
Desmatippus_integer	extinct
Desmatippus_nebrascensis	extinct
Desmatippus_tyleri	extinct
Diaceratherium_aginense	extinct
Diaceratherium_asphaltense	extinct
Diaceratherium_aurelianense	extinct
Diaceratherium_lamilloquense	extinct
Diaceratherium_lemanense	extinct
Diaceratherium_massiliae	extinct
Diceratherium_annectens	extinct
Diceratherium_armatum	extinct
Diceratherium_naricum	extinct
Diceratherium_niobrarense	extinct
Diceratherium_tridactylum	extinct
Dicerorhinus_abeli	extinct
Dicerorhinus_africanus	extinct
Dicerorhinus_gwebinensis	extinct
Dicerorhinus_indet	extinct
Dicerorhinus_leakeyi	extinct
Dicerorhinus_primaevus	extinct
Dicerorhinus_ringstroemi	extinct
Dicerorhinus_shahbazi	extinct
Dicerorhinus_steinheimensis	extinct
Diceros_australis	extinct
Diceros_bicornis	extant
Diceros_douariensis	extinct
Diceros_gabuniai	extinct
Diceros_praecox	extinct
Diceros_primaevus	extinct
Dihoplus_pikermiensis	extinct
Dihoplus_schleiermacheri	extinct
Dinohippus_edensis	extinct
Dinohippus_interpolatus	extinct
Dinohippus_leardi	extinct
Dinohippus_leidyanus	extinct
Dinohippus_mexicanus	extinct
Dinohippus_osborni	extinct
Dinohippus_pachyops	extinct
Dinohippus_spectans	extinct
Dinohippus_subvenus	extinct
Diplacodon_elatus	extinct
Dolichorhinus_hyognathus	extinct
Duchesneodus_uintensis	extinct
Dzungariotherium_orgosense	extinct
Eggysodon_cadibonense	extinct
Eggysodon_gaudryi	extinct
Eggysodon_osborni	extinct
Elasmotherium_caucasicum	extinct
Elasmotherium_peii	extinct
Elasmotherium_sibiricum	extinct
Eoazara_xerrii	extinct
Eomoropus_amarorum	extinct
Eomoropus_minimus	extinct
Eotitanops_borealis	extinct
Eotitanops_dayi	extinct
Eotitanops_minimus	extinct
Epiaceratherium_bolcense	extinct
Epihippus_gracilis	extinct
Epihippus_intermedius	extinct
Epihippus_uintensis	extinct
Epitriplopus_uintensis	extinct
Equus_abeli	extinct
Equus_achenheimensis	extinct
Equus_altidens	extinct
Equus_anguinus	extinct
Equus_beijingensis	extinct
Equus_bressanus	extinct
Equus_burchellii	extant
Equus_caballus	extant
Equus_calobatus	extinct
Equus_capensis	extinct
Equus_conversidens	extinct
Equus_cumminsi	extinct
Equus_eisenmannae	extinct
Equus_ferus	extinct
Equus_giganteus	extinct
Equus_grevyi	extant
Equus_hemionus	extant
Equus_huanghoensis	extinct
Equus_hydruntinus	extinct
Equus_idahoensis	extinct
Equus_koobiforensis	extinct
Equus_livenzovensis	extinct
Equus_major	extinct
Equus_mauritanicus	extinct
Equus_mosbachensis	extinct
Equus_numidicus	extinct
Equus_oldowayensis	extinct
Equus_przewalskii	extinct
Equus_qingyangensis	extinct
Equus_robustus	extinct
Equus_sanmeniensis	extinct
Equus_scotti	extinct
Equus_simplicidens	extinct
Equus_sivalensis	extinct
Equus_stehlini	extinct
Equus_stenonis	extinct
Equus_suessenbornensis	extinct
Equus_tabeti	extinct
Equus_teilhardi	extinct
Equus_verae	extinct
Equus_wuesti	extinct
Equus_yunnanensis	extinct
Eubrontotherium_clarnoensis	extinct
Eurygnathohippus_cornelianus	extinct
Eurygnathohippus_ethiopicus	extinct
Eurygnathohippus_feibeli	extinct
Eurygnathohippus_hasumense	extinct
Eurygnathohippus_hooijeri	extinct
Eurygnathohippus_libycus	extinct
Eurygnathohippus_turkanense	extinct
Eurygnathohippus_woldegabrieli	extinct
Floridaceras_whitei	extinct
Forstercooperia_jigniensis	extinct
Franzenium_durense	extinct
Gaindatherium_browni	extinct
Gaindatherium_rexmanuelli	extinct
Galushaceras_levellorum	extinct
Grangeria_anarsius	extinct
Gulfoceras_westfalli	extinct
Haagella_peregrina	extinct
Haplohippus_texanus	extinct
Helaletes_intermedius	extinct
Helaletes_nanus	extinct
Heptodon_calciculus	extinct
Heptodon_posticus	extinct
Hesperotherium_sinense	extinct
Heteropliohippus_hulberti	extinct
Hipparion_abudhabiense	extinct
Hipparion_aethiopicum	extinct
Hipparion_afarense	extinct
Hipparion_afarense/hasumense	extinct
Hipparion_africanum	extinct
Hipparion_albertense	extinct
Hipparion_antelopinum	extinct
Hipparion_apcheronicum	extinct
Hipparion_campbelli	extinct
Hipparion_chiai	extinct
Hipparion_chilongensis	extinct
Hipparion_coelophyes	extinct
Hipparion_concudense	extinct
Hipparion_crassum	extinct
Hipparion_crusafonti	extinct
Hipparion_dermatorhinum	extinct
Hipparion_dietrichi	extinct
Hipparion_dongxiangense	extinct
Hipparion_eldaricum	extinct
Hipparion_elegans	extinct
Hipparion_ethiopicum	extinct
Hipparion_fissurae	extinct
Hipparion_forcei	extinct
Hipparion_forstenae	extinct
Hipparion_fossatum	extinct
Hipparion_garedzicum	extinct
Hipparion_gettyi	extinct
Hipparion_gigantheum	extinct
Hipparion_gracile	extinct
Hipparion_gromovae	extinct
Hipparion_guizhongensis	extinct
Hipparion_hasumense	extinct
Hipparion_heintzi	extinct
Hipparion_hippidiodus	extinct
Hipparion_houfenense	extinct
Hipparion_huangheense	extinct
Hipparion_insperatum	extinct
Hipparion_kecigibi	extinct
Hipparion_kreugeri	extinct
Hipparion_licenti	extinct
Hipparion_macrodon	extinct
Hipparion_malustense	extinct
Hipparion_microtaton	extinct
Hipparion_molayanense	extinct
