Taxon_name,Status,MinAge,MaxAge,Site
Deinotherium_giganteum,extinct,7.6,7.6,26550
Gomphotherium_angustidens,extinct,12.85,12.85,21650
Gomphotherium_cooperi,extinct,17.2,17.2,20133
Primelephas_korotorensis,extinct,5.7,5.7,28329
Anancus_kazachstanensis,extinct,2.5,2.5,20797
Anancus_kenyensis,extinct,5.2,5.2,28330
Elephas_shungurensis,extinct,2.19,2.19,23910
Anancus_osiris,extinct,2.19,2.19,23910
Anancus_osiris,extinct,2.5,2.5,23190
Mammuthus_africanavus,extinct,2.5,2.5,23190
Mammuthus_africanavus,extinct,3.55,3.55,23893
Mammuthus_meridionalis,extinct,1.8,1.8,23189
Anancus_osiris,extinct,1.8,1.8,23189
Mammuthus_meridionalis,extinct,3.4976666666667,3.4976666666667,21188
Mammut_borsoni,extinct,3.4976666666667,3.4976666666667,21188
Zygolophodon_turicensis,extinct,3.4976666666667,3.4976666666667,21188
Anancus_kazachstanensis,extinct,4.8625,4.8625,20823
Gomphotherium_angustidens,extinct,17.2,17.2,23449
Zygolophodon_turicensis,extinct,17.2,17.2,23449
Prodeinotherium_bavaricum,extinct,17.2,17.2,23449
Choerolophodon_pentelici,extinct,11.2,11.2,23649
Anancus_arvernensis,extinct,11.232,11.232,23435
Choerolophodon_pentelici,extinct,11.2,11.2,23274
Choerolophodon_pentelici,extinct,7.6,7.6,23659
Konobelodon_atticus,extinct,7.6,7.6,23659
Gomphotherium_angustidens,extinct,16.4,16.4,22934
Gomphotherium_angustidens,extinct,19.5,19.5,20781
Gomphotherium_angustidens,extinct,17.2,17.2,21652
Anancus_arvernensis,extinct,3.0,3.0,20780
Anancus_sinensis,extinct,3.0,3.0,20780
Gomphotherium_angustidens,extinct,14.2,14.2,20134
Gomphotherium_angustidens,extinct,12.85,12.85,21705
Gomphotherium_angustidens,extinct,12.85,12.85,21712
Deinotherium_giganteum,extinct,12.85,12.85,21712
Deinotherium_bozasi,extinct,5.7,5.7,28331
