Species	Status
Afrochoerodon_kisumuensis	extinct
Afromastodon_coppensi	extinct
Amebelodon_floridanus	extinct
Amebelodon_fricki	extinct
Anancus_arvernensis	extinct
Anancus_kazachstanensis	extinct
Anancus_kenyensis	extinct
Anancus_lehmanni	extinct
Anancus_osiris	extinct
Anancus_perimensis	extinct
Anancus_petrocchii	extinct
Anancus_sinensis	extinct
Anancus_sivalensis	extinct
Anancus_ultimus	extinct
Aphanobelodon_zhaoi	extinct
Archaeobelodon_filholi	extinct
Barytherium_grave	extinct
Chilgatherium_harrisi	extinct
Choerolophodon_anatolicus	extinct
Choerolophodon_chioticus	extinct
Choerolophodon_corrugatus	extinct
Choerolophodon_guangheensis	extinct
Choerolophodon_ngorora	extinct
Choerolophodon_pentelici	extinct
Cuvieronius_hyodon	extinct
Daouitherium_rebouli	extinct
Deinotherium_bozasi	extinct
Deinotherium_giganteum	extinct
Deinotherium_indicum	extinct
Deinotherium_levius	extinct
Deinotherium_proavum	extinct
Elephas_atavus	extinct
Elephas_ekorensis	extinct
Elephas_hysudricus	extinct
Elephas_hysudrindicus	extinct
Elephas_maximus	extant
Elephas_planifrons	extinct
Eozygodon_morotoensis	extinct
Eritherium_azzouzorum	extinct
Eritreum_melakeghebrekristosi	extinct
Eubelodon_morrilli	extinct
Gnathabelodon_buckneri	extinct
Gnathabelodon_thorpei	extinct
Gomphotherium_angustidens	extinct
Gomphotherium_annectens	extinct
Gomphotherium_basal	extinct
Gomphotherium_browni	extinct
Gomphotherium_connexum	extinct
Gomphotherium_cooperi	extinct
Gomphotherium_hannibali	extinct
Gomphotherium_inopinatum	extinct
Gomphotherium_mongoliense	extinct
Gomphotherium_productum	extinct
Gomphotherium_steinheimense	extinct
Gomphotherium_subtapiroideum	extinct
Gomphotherium_sylvaticum	extinct
Gomphotherium_tassyi	extinct
Gomphotherium_wimani	extinct
Hemimastodon_crepusculi	extinct
Khamsaconus_bulbosus	extinct
Konobelodon_atticus	extinct
Konobelodon_britti	extinct
Konobelodon_cyrenaicus	extinct
Konobelodon_robustus	extinct
Losodokodon_losodokius	extinct
Loxodonta_adaurora	extinct
Loxodonta_africana	extant
Loxodonta_atlantica	extinct
Loxodonta_cookei	extinct
Loxodonta_cyclotis	extant
Loxodonta_exoptata	extinct
Mammut_americanum	extinct
Mammut_borsoni	extinct
Mammut_obliquelophus	extinct
Mammuthus_africanavus	extinct
Mammuthus_columbi	extinct
Mammuthus_creticus	extinct
Mammuthus_exilis	extinct
Mammuthus_gromovi	extinct
Mammuthus_lamarmorai	extinct
Mammuthus_meridionalis	extinct
Mammuthus_primigenius	extinct
Mammuthus_protomammonteus	extinct
Mammuthus_rumanus	extinct
Mammuthus_subplanifrons	extinct
Mammuthus_trogontherii	extinct
Megabelodon_joraki	extinct
Megabelodon_lulli	extinct
Megabelodon_minor	extinct
Miomastodon_gobiensis	extinct
Miomastodon_metachinjiensis	extinct
Miomastodon_proavus	extinct
Moeritherium_andrewsi	extinct
Moeritherium_chehbeurameuri	extinct
Moeritherium_lyonsi	extinct
Moeritherium_trigodon	extinct
Numidotherium_koholense	extinct
Numidotherium_savagei	extinct
Omanitherium_dhofarensis	extinct
Palaeoloxodon_antiquus	extinct
Palaeoloxodon_creutzburgi	extinct
Palaeoloxodon_cypriotes	extinct
Palaeoloxodon_falconeri	extinct
Palaeoloxodon_jolensis	extinct
Palaeoloxodon_lomolinoi	extinct
Palaeoloxodon_mnaidriensis	extinct
Palaeoloxodon_namadicus	extinct
Palaeoloxodon_naumanni	extinct
Palaeoloxodon_recki	extinct
Palaeoloxodon_tiliensis	extinct
Palaeomastodon_beadnelli	extinct
Paratetralophodon_exoletus	extinct
Paratetralophodon_hasnotensis	extinct
Pediolophodon_campester	extinct
Phiomia_major	extinct
Phiomia_serridens	extinct
Phosphatherium_escuilliei	extinct
Platelephas_platycephalus	extinct
Platybelodon_dangheensis	extinct
Platybelodon_danovi	extinct
Platybelodon_grangeri	extinct
Platybelodon_tongxinensis	extinct
Primelephas_korotorensis	extinct
Prodeinotherium_bavaricum	extinct
Prodeinotherium_hobleyi	extinct
Prodeinotherium_pentapotamiae	extinct
Progomphotherium_maraisi	extinct
Protanancus_brevirostris	extinct
Protanancus_chinjiensis	extinct
Protanancus_macinnesi	extinct
Protanancus_tobieni	extinct
Rhynchotherium_falconeri	extinct
Rhynchotherium_tlascalae	extinct
Serbelodon_barbourensis	extinct
